population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),circle code,literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
6938,3546,3391,1,88.13,100,1015,774,,1032,1014,1,401,423,,6577,361,5555,4504,503,2146,3981,2601601,90.24,92.22,2722,2373
4760,2398,2362,,85.61,,646,535,,640,684,,361,339,,4701,59,3783,3044,377,1285,2754,2601602,87.6,89.58,1322,1268
9162,4801,4360,1,87.27,100,1390,1143,1,1194,1127,,485,497,,9127,35,7143,5680,571,2762,5074,2601701,88.1,88.85,3493,2955
6032,3177,2854,1,85.67,100,883,671,1,730,702,,229,285,,5870,162,4647,3729,380,1747,3205,2601702,86.64,87.49,1825,1563
8057,4100,3957,,90.56,,1022,869,,1208,1168,,399,500,,8031,26,6362,5110,549,2337,4453,2601801,91.81,93.03,3337,2799
8070,4084,3986,,89.93,,1291,1149,,1244,1157,,192,271,,8063,7,6182,4988,502,2203,4288,2601802,91.3,92.62,3111,2617
10498,5372,5124,2,88.52,100,1562,1376,2,1583,1473,,445,541,,10484,14,8251,6594,716,2833,5692,2601803,90.46,92.34,4449,3771
7318,3739,3579,,88.42,,996,826,,1079,1058,,413,475,,7311,7,5701,4537,485,1548,3959,2601804,90.05,91.66,2599,2152
4074,2012,2062,,93.23,,560,484,,663,666,,238,311,,4006,68,3254,2623,330,1011,2326,2601901,94.1,94.98,2115,1939
7135,3442,3693,,86.66,,1006,826,,932,1147,,391,500,,7093,42,5674,4464,469,1010,3791,2601902,87.57,88.57,2728,2363
6504,3319,3185,,86.13,,1003,869,,898,929,,241,275,,6354,150,5119,4089,446,1720,3657,2601903,86.56,86.98,2691,2336
8931,4558,4373,,88.47,,1199,1020,,1376,1352,,492,540,,8874,57,7080,5683,622,2465,5091,2602001,90.03,91.55,3343,2903
10090,5159,4931,,87.45,,1288,1119,,1412,1367,,597,675,,10057,33,7856,6162,718,1648,5443,2602002,88.72,89.95,4133,3560
11087,5644,5442,1,82.88,,1570,1306,,1456,1423,,474,556,,10988,99,8592,6900,805,1254,5943,2602003,83.85,84.79,3982,3231
6639,3384,3254,1,82.96,,1036,854,,888,819,,278,310,,6586,53,5256,4127,348,1818,4104,2602101,86.17,89.28,2888,2583
21214,10842,10367,5,80.36,,3313,2846,,2291,2376,,563,718,,20823,391,16093,12665,1139,5775,10923,2602102,80.6,80.88,5683,4433
17345,8771,8574,,77.07,,2548,2241,,1870,1958,,363,485,,17035,310,13154,10331,929,4038,8610,2602103,77.4,77.72,5639,4257
11673,6042,5629,2,74.67,,1756,1350,,1235,1276,,305,440,,11498,175,9044,7125,710,3545,5973,2602104,75.04,75.42,3718,2914
10349,5283,5065,1,78.9,100,1424,1181,,1319,1186,1,386,441,,10287,62,7834,6167,556,2933,5223,2602201,82,84.91,2810,2352
27457,14449,13005,3,67.89,,3749,2934,,2156,2179,,457,529,,24122,3335,20352,15732,1307,8437,12177,2602202,68.82,69.67,4705,3297
13547,6868,6679,,81.64,,1877,1626,,1583,1642,,487,592,,13464,83,10258,8053,823,3694,6625,2602203,82.64,83.62,4892,3744
9606,4934,4672,,76,,1469,1192,,911,962,,156,215,,9532,74,7242,5705,582,2756,4631,2602204,77,77.93,3014,2274
7276,3706,3570,,74.74,,1196,973,,683,718,,147,177,,7252,24,5464,4255,393,2029,3412,2602205,76.54,78.27,3099,2267
10720,5559,5161,,77.46,,1600,1276,,917,1000,,197,239,,10509,211,8190,6328,657,3005,4931,2602206,77.92,78.35,4810,3722
6651,3391,3260,,79.32,,997,843,,821,785,,210,256,,6398,253,5114,4002,377,1934,3326,2602301,81.68,83.99,2445,1891
8500,4351,4149,,93.28,,1194,1088,,1275,1181,,438,510,,8342,158,6699,5312,576,1868,4714,2602302,93.92,94.55,3336,2748
10832,5432,5400,,89.79,,1788,1437,,1371,1501,,413,531,,10803,29,8412,6571,695,2693,5496,2602303,90.41,91.01,3863,3145
6589,3440,3149,,89.58,,1032,877,,886,827,,275,333,,6582,7,5124,4117,435,1856,3427,2602304,90.5,91.35,2552,2109
12805,6578,6224,3,80.75,33.33,2100,1699,,1183,1283,1,289,362,,12688,117,9769,7565,670,3486,5784,2602305,82.02,83.26,4241,3155
8958,4514,4442,2,84.45,50,1368,1201,,1141,1188,1,326,414,,8730,228,6949,5459,519,2316,4639,2602401,84.27,84.12,2839,2364
8213,4196,4013,4,82.1,75,1233,1021,,899,954,3,214,269,,7862,351,6379,4847,478,2023,4023,2602402,82.36,82.63,3771,2926
14122,7219,6899,4,76.01,,2172,1702,,1306,1450,,308,410,,14031,91,10579,8190,745,3892,6526,2602403,76.69,77.39,3346,2474
20532,10463,10068,1,73.41,,2862,2493,,1738,1865,,419,524,,19876,656,15431,11914,1090,2633,9316,2602404,73.56,73.71,3884,2713
11740,6143,5591,6,60.58,33.33,1639,1284,1,703,717,,105,131,1,11046,694,8620,6490,499,2686,4722,2602501,62.11,63.5,2830,1925
24765,12969,11796,,58.24,,3287,2856,,1305,1281,,151,149,,24427,338,18082,13607,1027,7217,9766,2602502,58.45,58.64,5752,3977
21818,11429,10388,1,59.62,100,2841,2366,1,1081,1027,,133,157,,21034,784,15711,11984,1018,6115,9736,2602503,61.42,63.04,4081,2842
5112,2668,2444,,29.05,,429,260,,138,103,,19,18,,4912,200,3455,2529,214,1423,1509,2602504,35.75,41.76,498,280
10793,5497,5294,2,86.21,100,1556,1304,,1390,1391,2,464,625,,10790,3,8314,6623,699,2848,5614,2602601,87.92,89.61,3495,2870
7062,3598,3454,10,94.55,30,1273,983,,852,875,3,311,363,,7004,58,5439,4298,410,1987,3838,2602602,95.13,95.9,2529,2161
42210,22527,19673,10,63.6,60,5260,4032,4,2956,2718,1,622,768,,38045,4165,31348,24138,1874,12379,18524,2602603,65.54,67.21,9014,6556
12007,6196,5810,1,71.94,,1581,1324,,1191,1243,,324,382,,11965,42,8986,7033,609,2966,5834,2602701,71.13,70.41,3540,2720
19920,10350,9567,3,71.79,100,2889,2322,2,1692,1741,1,356,431,,18476,1444,14892,11476,1002,5934,9261,2602702,72.74,73.59,3898,2943
9201,4750,4451,,78.93,,1306,1100,,982,1051,,253,317,,9172,29,6926,5383,503,1790,4544,2602703,79.57,80.18,2212,1651
9309,4754,4555,,86.47,,1091,945,,1343,1279,,621,615,,9221,88,7180,5757,641,2679,5117,2602704,88.22,89.89,4579,3465
8474,4347,4126,1,80.6,,1252,1038,,871,903,,244,332,,7483,991,6467,5172,516,2334,4423,2602705,81.41,82.21,2698,1955
18967,9799,9155,13,72.43,38.46,2544,2113,5,1949,1837,,613,690,,18848,119,14246,11137,949,4554,9053,2602706,73.75,75.05,5301,4004
16147,8478,7665,4,62.91,25,2025,1643,,1064,1128,1,184,226,,15423,724,11916,9156,722,4499,7243,2602707,64.02,65.04,4620,3540
14490,7452,7029,9,78.74,44.44,2013,1565,1,1538,1516,2,375,524,,14437,53,10869,8592,757,3635,7029,2602801,79.89,81.02,3609,2771
12991,6714,6276,1,86.71,100,2087,1783,,1330,1363,1,272,345,,12989,2,9841,7724,569,3560,6086,2602802,87.72,88.67,2741,2002
9747,5024,4722,1,87.47,100,1439,1175,,1379,1344,1,485,552,,9728,19,7465,6014,577,581,5203,2602803,88.29,89.07,3411,2747
20488,10609,9868,11,80.17,81.82,2982,2428,2,2429,2414,4,640,758,,20320,168,15482,12171,1017,4476,10053,2602804,80.9,81.58,2691,2026
13114,6760,6354,,80.05,,1769,1422,,1741,1650,,585,700,,12903,211,10111,8056,739,3010,6888,2602805,81.49,82.85,2634,2012
12370,6391,5978,1,81.15,100,2003,1679,,1263,1248,,229,280,,12364,6,9112,7204,597,2500,5746,2602901,81.88,82.55,3255,2264
10061,5204,4852,5,70.72,,1502,1272,,882,903,,196,213,,10051,10,7483,5873,488,3099,4583,2602902,70.87,71.09,2766,1959
12652,6561,6089,2,76.26,100,1675,1281,1,1464,1402,,379,466,,12431,221,9590,7702,716,3299,6504,2602903,77.98,79.55,3355,2516
7687,4014,3673,,80.63,,1165,864,,1054,940,,313,357,,7639,48,5876,4696,461,1927,3953,2602904,83.63,86.37,1993,1595
16741,8504,8237,,88.89,,2267,1887,,2442,2327,,1037,1138,,16604,137,12997,10490,1184,4211,9537,2603001,90.63,92.31,5388,4506
19506,9899,9603,4,87.35,25,2521,2185,1,2732,2684,,1170,1295,,19315,191,15108,12160,1241,5319,10594,2603002,88.73,90.15,5032,4110
4144,2139,2005,,78.23,,515,399,,599,569,,198,238,,4121,23,3233,2586,278,1237,2267,2603003,79.15,80.02,800,676
9858,5019,4839,,90.52,,1031,926,,1535,1445,,871,883,,9834,24,7764,6208,637,2009,5660,2603004,90.93,91.32,3341,2731
12924,6598,6323,3,85.87,66.67,1305,1131,1,1678,1573,,970,1019,1,12876,48,10046,7989,802,1977,6983,2603005,86.65,87.41,1980,1678
45888,23530,22350,8,85.11,50,6238,5216,1,6075,5571,3,2454,2765,,44873,1015,35334,28095,2887,9781,24287,2603101,86.54,87.91,9824,8275
8017,4107,3908,2,84.07,100,1292,993,,1060,1018,1,246,345,,8006,11,6141,4896,498,1358,4208,2603102,87.01,89.76,2684,2077
7763,4012,3747,4,83.01,,1014,816,,1026,969,,386,402,,7724,39,5931,4783,436,1452,4064,2603103,84.99,86.97,1523,1179
29367,15121,14231,15,77.44,53.33,4281,3585,2,3331,3186,4,959,1057,,29004,363,22380,17773,1684,6370,14635,2603201,78.94,80.39,8946,7026
41925,21460,20456,9,84.83,88.89,5338,4601,1,4768,4521,3,2424,2488,1,41591,334,31944,24858,2359,9716,22155,2603202,86.07,87.24,6805,5265
17820,9045,8769,6,81.37,33.33,2333,2084,,2126,2138,1,852,894,1,17383,437,13583,10740,1061,4608,9462,2603203,82.19,83.04,4459,3550
12216,6274,5941,1,86.36,,1519,1341,,1963,1776,,750,669,,12155,61,9566,7651,774,3378,6952,2603204,88.9,91.29,4620,3915
5485,2754,2730,1,87.29,100,718,623,,868,795,1,311,356,,5330,155,4295,3371,372,839,3291,2603205,90.15,93.01,1590,1449
14001,7390,6607,4,80.82,75,1889,1440,1,1774,1622,2,715,722,,13826,175,10662,8467,745,3072,7147,2603301,82.4,83.81,2348,1762
11378,5843,5533,2,68,50,1391,1117,,1014,953,1,378,377,,11236,142,8307,6322,537,3249,5001,2603302,70.78,73.37,1741,1364
22936,11824,11105,7,68.99,85.71,3648,2970,5,1958,1671,,547,598,,21767,1169,17148,12948,976,5719,10816,2603303,72.75,76.26,2183,1623
34669,18186,16480,3,67.41,100,4926,3996,2,3040,2577,1,552,611,,33337,1332,25591,19354,1445,7862,15550,2603304,70.4,73.1,5925,4046
40518,21038,19479,1,65.07,,5208,4303,,3372,3001,,861,814,,33979,6539,30254,23293,1844,11264,18886,2603305,67.32,69.37,7934,5734
24770,14378,10389,3,83.26,33.33,3286,2443,,5068,2402,,1523,1072,,24279,491,19630,16092,1164,9198,14709,2603401,87.42,90.23,3126,2711
17139,8735,8399,5,83.95,,2102,1890,,2420,2103,,961,989,,16858,281,13091,10385,983,4646,9314,2603402,86.78,89.59,3936,3310
17332,8931,8401,,77.25,,2454,1971,,2185,2009,,521,566,,16543,789,13195,10382,999,5007,9042,2603403,79.64,81.88,4485,3759
20614,10581,10033,,80.32,,3222,2527,,2051,2231,,408,486,,20421,193,15617,12199,1230,4896,9838,2603501,82.21,84.02,6430,4705
12587,6482,6104,1,65.74,,1693,1329,,1339,1291,,181,211,,12562,25,9491,7431,721,3722,5994,2603502,68.3,70.71,3582,2569
10631,5423,5206,2,79.04,50,1575,1390,1,1239,1188,,196,216,,10587,44,7997,6216,634,1175,4947,2603503,80.58,82.07,3315,2537
7510,3756,3754,,91.64,,726,673,,1269,1159,,730,818,,7450,60,5896,4861,571,1847,4440,2603504,94,96.4,2110,1860
5444,2713,2731,,91.8,,627,612,,861,887,,463,459,,5401,43,4305,3491,394,975,3195,2603505,93.47,95.19,1714,1520
9592,4908,4684,,80.87,,1387,1191,,1193,1193,,286,310,,9550,42,7452,5860,555,2743,4845,2603601,82.17,83.4,3464,2632
8987,4587,4400,,72.93,,1407,1123,,877,1002,,159,223,,8982,5,7012,5461,487,2553,4501,2603602,72.9,72.88,2949,2307
8432,4311,4121,,81.16,,1280,1134,,809,819,,150,180,,8425,7,6447,5061,464,2465,4046,2603603,83.76,86.32,2898,2206
8786,4552,4234,,73.07,,1274,1025,,845,878,,219,182,,8776,10,6627,5166,462,2450,4232,2603604,74.88,76.57,3553,2653
13603,7454,6148,1,83.43,,1785,1211,,2483,2061,,824,773,,12869,734,11006,8931,927,4306,7768,2603701,84.22,84.86,4425,3670
7730,4027,3702,1,87.63,100,1004,811,1,1226,1091,,571,586,,7004,726,6288,5128,537,2570,4690,2603702,88.12,88.56,2261,1939
9581,5113,4464,4,85.93,75,1447,1073,2,1396,1165,,587,598,,9057,524,7653,6082,656,2686,5259,2603703,87.66,89.16,2980,2527
11275,5710,5563,2,86.98,50,1462,1247,1,1702,1582,,718,823,,10699,576,9069,7351,945,3865,6858,2603704,88.43,89.85,3824,3489
9192,4764,4425,3,87.78,66.67,1280,998,1,1402,1290,,513,569,1,8832,360,7433,5959,625,3129,5454,2603801,88.82,89.78,3579,3018
8115,4312,3801,2,86.65,100,1142,856,,1302,1173,,466,511,,8051,64,6562,5363,605,2576,4806,2603802,86.54,86.44,2633,2278
8528,4573,3950,5,91.78,80,1442,936,,1179,1315,2,439,449,,8248,280,7048,5816,548,2476,5235,2603803,91.19,90.7,3137,2612
5603,3129,2474,,77.67,,834,596,,535,447,,103,157,,5431,172,4366,3452,251,2016,2860,2603901,75.95,74.69,3050,2167
10352,5533,4814,5,80.11,,1636,1254,,1136,1047,,313,352,,9115,1237,8094,6556,652,3554,5457,2603902,80.16,80.29,2249,1834
4103,2100,2003,,82.82,,527,474,,551,569,,143,171,,4092,11,3231,2575,261,1047,2088,2603903,83.41,83.98,1424,1145
5805,3069,2736,,84.64,,847,670,,798,831,,237,244,,5762,43,4653,3770,422,1320,3123,2604001,83.26,82.04,1881,1429
5423,2776,2647,,90.13,,896,669,,744,815,,256,325,,5415,8,4310,3458,408,1576,2969,2604002,90.16,90.19,2426,1946
5577,2978,2599,,80.9,,761,660,,742,655,,171,204,,4771,806,4526,3686,347,1853,3154,2604003,79.34,78.03,1987,1533
6890,3609,3280,1,82.32,100,1098,849,,828,872,1,162,248,,6834,56,5543,4353,444,2302,3714,2604004,81.51,80.77,2358,1828
6133,3121,3010,2,90,100,879,757,2,922,907,,227,260,,6094,39,4896,3973,466,1930,3341,2604005,91.05,92.06,2225,1841
